,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
394,6,CA,Calaveras County,mth,4,2011,gcs_mn_all,3.070763650289947,all,All
396,6,CA,Calaveras County,mth,4,2012,gcs_mn_all,3.276226698159621,all,All
398,6,CA,Calaveras County,mth,4,2013,gcs_mn_all,2.44825149374783,all,All
400,6,CA,Calaveras County,mth,4,2015,gcs_mn_all,2.995392527551307,all,All
402,6,CA,Calaveras County,mth,4,2016,gcs_mn_all,2.761904120768661,all,All
404,6,CA,Calaveras County,mth,4,2017,gcs_mn_all,2.54021213236499,all,All
406,6,CA,Calaveras County,mth,4,2018,gcs_mn_all,2.712272299358901,all,All
408,6,CA,Calaveras County,mth,5,2009,gcs_mn_all,3.917186114412102,all,All
410,6,CA,Calaveras County,mth,5,2010,gcs_mn_all,3.393565434107983,all,All
412,6,CA,Calaveras County,mth,5,2011,gcs_mn_all,3.221694045677461,all,All
414,6,CA,Calaveras County,mth,5,2012,gcs_mn_all,3.66694799324198,all,All
416,6,CA,Calaveras County,mth,5,2013,gcs_mn_all,3.357211797863532,all,All
418,6,CA,Calaveras County,mth,5,2015,gcs_mn_all,4.254369001810971,all,All
420,6,CA,Calaveras County,mth,5,2016,gcs_mn_all,4.12362170014587,all,All
422,6,CA,Calaveras County,mth,5,2017,gcs_mn_all,3.589879937409604,all,All
424,6,CA,Calaveras County,mth,5,2018,gcs_mn_all,3.528721433690575,all,All
426,6,CA,Calaveras County,mth,6,2009,gcs_mn_all,5.196958798874473,all,All
428,6,CA,Calaveras County,mth,6,2010,gcs_mn_all,5.004294367959594,all,All
430,6,CA,Calaveras County,mth,6,2011,gcs_mn_all,5.219472562172768,all,All
432,6,CA,Calaveras County,mth,6,2012,gcs_mn_all,5.238508055911362,all,All
434,6,CA,Calaveras County,mth,6,2013,gcs_mn_all,5.4127602046389,all,All
436,6,CA,Calaveras County,mth,6,2015,gcs_mn_all,5.043197088518792,all,All
438,6,CA,Calaveras County,mth,6,2016,gcs_mn_all,5.224547660966232,all,All
440,6,CA,Calaveras County,mth,6,2017,gcs_mn_all,5.222820862045154,all,All
442,6,CA,Calaveras County,mth,6,2018,gcs_mn_all,4.965715951705528,all,All
449,6,CA,Calaveras County,mth,7,2015,gcs_mn_all,6.703601003955562,all,All
451,6,CA,Calaveras County,mth,7,2016,gcs_mn_all,6.202451259868186,all,All
453,6,CA,Calaveras County,mth,7,2017,gcs_mn_all,6.447656038411713,all,All
455,6,CA,Calaveras County,mth,7,2018,gcs_mn_all,6.525436739335667,all,All
462,6,CA,Calaveras County,mth,8,2015,gcs_mn_all,7.732338423952807,all,All
464,6,CA,Calaveras County,mth,8,2016,gcs_mn_all,7.738918037341981,all,All
466,6,CA,Calaveras County,mth,8,2017,gcs_mn_all,7.420723176176011,all,All
468,6,CA,Calaveras County,mth,8,2018,gcs_mn_all,7.229134465051532,all,All
470,6,CA,Colusa County,mth,3,2009,gcs_mn_all,1.883403320599435,all,All
472,6,CA,Colusa County,mth,3,2010,gcs_mn_all,1.647650309719015,all,All
474,6,CA,Colusa County,mth,3,2011,gcs_mn_all,1.980072421512659,all,All
